component_family,category,date,month,year,quarter,demand_units,avg_unit_price,avg_lead_time_weeks,num_orders,market_index
COMP-001,Semiconductors,2022-10-01,10,2022,4,2587,1.05,1.4,14,106.7
COMP-001,Semiconductors,2022-11-01,11,2022,4,2942,0.78,4.2,29,103.0
COMP-001,Semiconductors,2022-12-01,12,2022,4,3178,1.05,3.4,32,96.9
COMP-001,Semiconductors,2023-01-01,1,2023,1,2760,1.47,4.0,15,101.6
COMP-001,Semiconductors,2023-02-01,2,2023,1,3051,0.54,4.2,43,98.7
COMP-001,Semiconductors,2023-03-01,3,2023,1,3332,0.82,7.3,38,93.7
COMP-001,Semiconductors,2023-04-01,4,2023,2,4193,0.75,4.5,65,91.9
COMP-001,Semiconductors,2023-05-01,5,2023,2,3495,3.21,4.9,21,97.1
COMP-001,Semiconductors,2023-06-01,6,2023,2,3244,0.76,4.3,50,89.6
COMP-001,Semiconductors,2023-07-01,7,2023,3,3227,1.35,3.5,21,83.7
COMP-001,Semiconductors,2023-08-01,8,2023,3,2627,1.27,6.2,17,90.6
COMP-001,Semiconductors,2023-09-01,9,2023,3,2739,1.03,3.4,18,92.9
COMP-001,Semiconductors,2023-10-01,10,2023,4,2512,1.05,2.5,17,94.3
COMP-001,Semiconductors,2023-11-01,11,2023,4,3133,1.63,1.6,38,92.4
COMP-001,Semiconductors,2023-12-01,12,2023,4,2997,0.92,1.5,20,100.8
COMP-001,Semiconductors,2024-01-01,1,2024,1,3558,0.61,2.8,28,97.5
COMP-001,Semiconductors,2024-02-01,2,2024,1,2823,1.99,5.4,21,102.4
COMP-001,Semiconductors,2024-03-01,3,2024,1,4116,0.41,7.3,59,106.6
COMP-001,Semiconductors,2024-04-01,4,2024,2,3693,0.49,6.2,43,110.3
COMP-001,Semiconductors,2024-05-01,5,2024,2,3901,1.6,5.1,29,104.6
COMP-001,Semiconductors,2024-06-01,6,2024,2,2274,0.99,4.4,39,108.8
COMP-001,Semiconductors,2024-07-01,7,2024,3,3152,0.94,3.8,25,116.1
COMP-001,Semiconductors,2024-08-01,8,2024,3,3147,2.85,2.7,16,110.4
COMP-001,Semiconductors,2024-09-01,9,2024,3,3166,1.17,2.4,18,108.9
COMP-001,Semiconductors,2024-10-01,10,2024,4,2397,0.78,2.9,33,106.4
COMP-001,Semiconductors,2024-11-01,11,2024,4,2410,1.0,3.3,13,105.7
COMP-001,Semiconductors,2024-12-01,12,2024,4,3308,0.89,1.3,21,105.8
COMP-002,Resistors,2022-01-01,1,2022,1,445,0.75,2.5,3,102.6
COMP-002,Resistors,2022-02-01,2,2022,1,514,1.35,5.7,3,101.0
COMP-002,Resistors,2022-03-01,3,2022,1,311,0.68,5.7,2,109.1
COMP-002,Resistors,2022-04-01,4,2022,2,352,1.07,6.4,3,106.6
COMP-002,Resistors,2022-05-01,5,2022,2,369,0.82,5.9,4,106.6
COMP-002,Resistors,2022-06-01,6,2022,2,464,2.1,4.3,2,107.0
COMP-002,Resistors,2022-07-01,7,2022,3,527,0.61,3.5,3,105.9
COMP-002,Resistors,2022-08-01,8,2022,3,496,0.65,1.7,5,108.2
COMP-002,Resistors,2022-09-01,9,2022,3,505,0.69,1.0,3,106.7
COMP-002,Resistors,2022-10-01,10,2022,4,511,2.21,1.0,2,103.4
COMP-002,Resistors,2022-11-01,11,2022,4,550,1.93,1.8,4,103.2
COMP-002,Resistors,2022-12-01,12,2022,4,633,1.11,4.2,10,103.6
COMP-002,Resistors,2023-01-01,1,2023,1,602,1.17,4.2,4,102.8
COMP-002,Resistors,2023-02-01,2,2023,1,585,0.52,4.4,7,94.9
COMP-002,Resistors,2023-03-01,3,2023,1,526,1.23,5.5,3,95.0
COMP-002,Resistors,2023-04-01,4,2023,2,561,1.99,5.9,5,91.2
COMP-002,Resistors,2023-05-01,5,2023,2,703,2.1,5.3,4,91.9
COMP-002,Resistors,2023-06-01,6,2023,2,571,2.29,6.3,4,91.1
COMP-002,Resistors,2023-07-01,7,2023,3,529,0.36,6.0,2,90.7
COMP-002,Resistors,2023-08-01,8,2023,3,448,1.58,3.6,3,91.7
COMP-002,Resistors,2023-09-01,9,2023,3,543,0.45,3.5,6,85.9
COMP-002,Resistors,2023-10-01,10,2023,4,639,0.32,4.0,4,97.8
COMP-002,Resistors,2023-11-01,11,2023,4,566,1.27,1.4,5,95.1
COMP-002,Resistors,2023-12-01,12,2023,4,690,1.01,3.4,8,95.9
COMP-002,Resistors,2024-01-01,1,2024,1,631,0.89,3.9,4,93.6
COMP-002,Resistors,2024-02-01,2,2024,1,638,0.56,3.8,9,108.5
COMP-002,Resistors,2024-03-01,3,2024,1,625,0.57,5.8,5,105.5
COMP-002,Resistors,2024-04-01,4,2024,2,607,1.06,6.3,3,109.4
COMP-002,Resistors,2024-05-01,5,2024,2,605,2.54,6.0,10,111.3
COMP-002,Resistors,2024-06-01,6,2024,2,658,0.86,5.9,6,110.5
COMP-002,Resistors,2024-07-01,7,2024,3,587,1.14,2.7,3,110.2
COMP-002,Resistors,2024-08-01,8,2024,3,547,0.69,1.8,4,113.7
COMP-002,Resistors,2024-09-01,9,2024,3,512,3.46,1.6,3,114.9
COMP-002,Resistors,2024-10-01,10,2024,4,734,0.35,3.1,7,107.7
COMP-002,Resistors,2024-11-01,11,2024,4,719,0.95,1.0,7,103.1
COMP-002,Resistors,2024-12-01,12,2024,4,628,1.77,3.0,9,105.0
COMP-003,Resistors,2022-01-01,1,2022,1,3536,1.52,2.3,20,107.9
COMP-003,Resistors,2022-02-01,2,2022,1,3312,1.41,5.2,21,107.7
COMP-003,Resistors,2022-03-01,3,2022,1,2631,1.12,6.5,26,105.0
COMP-003,Resistors,2022-04-01,4,2022,2,2254,1.95,8.1,17,101.2
COMP-003,Resistors,2022-05-01,5,2022,2,2797,0.63,8.1,16,106.8
COMP-003,Resistors,2022-06-01,6,2022,2,3301,2.18,4.5,17,105.9
COMP-003,Resistors,2022-07-01,7,2022,3,3664,1.28,4.8,21,111.9
COMP-003,Resistors,2022-08-01,8,2022,3,2916,0.69,3.7,29,110.4
COMP-003,Resistors,2022-09-01,9,2022,3,3293,1.45,4.0,17,107.5
COMP-003,Resistors,2022-10-01,10,2022,4,3018,2.87,4.0,29,102.3
COMP-003,Resistors,2022-11-01,11,2022,4,3077,0.3,1.0,30,109.3
COMP-003,Resistors,2022-12-01,12,2022,4,3377,1.68,4.7,24,102.5
COMP-003,Resistors,2023-01-01,1,2023,1,3236,1.43,3.6,20,98.7
COMP-003,Resistors,2023-02-01,2,2023,1,3727,1.01,5.1,34,94.6
COMP-003,Resistors,2023-03-01,3,2023,1,4132,0.65,8.9,33,95.5
COMP-003,Resistors,2023-04-01,4,2023,2,3892,0.83,6.0,28,92.5
COMP-003,Resistors,2023-05-01,5,2023,2,3535,2.28,4.6,31,89.3
COMP-003,Resistors,2023-06-01,6,2023,2,3308,0.48,4.7,20,89.0
COMP-003,Resistors,2023-07-01,7,2023,3,2516,1.11,3.4,41,93.9
COMP-003,Resistors,2023-08-01,8,2023,3,2374,0.77,2.6,13,89.1
COMP-003,Resistors,2023-09-01,9,2023,3,1958,0.55,2.8,18,87.3
COMP-003,Resistors,2023-10-01,10,2023,4,2261,1.32,2.5,33,96.9
COMP-003,Resistors,2023-11-01,11,2023,4,2764,0.85,2.2,22,97.4
COMP-003,Resistors,2023-12-01,12,2023,4,2729,1.44,3.5,36,92.8
COMP-003,Resistors,2024-01-01,1,2024,1,2375,1.57,3.3,18,98.0
COMP-003,Resistors,2024-02-01,2,2024,1,2761,1.27,6.1,21,103.1
COMP-003,Resistors,2024-03-01,3,2024,1,2747,0.66,4.9,24,100.2
COMP-003,Resistors,2024-04-01,4,2024,2,2775,1.85,8.3,26,105.4
COMP-003,Resistors,2024-05-01,5,2024,2,2923,1.87,6.8,22,105.7
COMP-003,Resistors,2024-06-01,6,2024,2,2227,4.15,6.6,34,109.6
COMP-003,Resistors,2024-07-01,7,2024,3,2226,0.9,3.2,12,112.8
COMP-003,Resistors,2024-08-01,8,2024,3,2392,1.04,2.7,18,112.7
COMP-003,Resistors,2024-09-01,9,2024,3,1758,0.7,4.8,17,109.1
COMP-003,Resistors,2024-10-01,10,2024,4,2289,1.04,3.7,13,108.4
COMP-003,Resistors,2024-11-01,11,2024,4,2129,0.99,1.0,33,102.3
COMP-003,Resistors,2024-12-01,12,2024,4,2583,1.43,3.3,16,105.2
COMP-004,Connectors,2022-01-01,1,2022,1,3806,0.79,5.0,22,102.8
COMP-004,Connectors,2022-02-01,2,2022,1,3765,0.86,5.3,27,102.5
COMP-004,Connectors,2022-03-01,3,2022,1,2962,1.01,4.4,23,107.6
COMP-004,Connectors,2022-04-01,4,2022,2,3206,0.53,5.5,21,103.9
COMP-004,Connectors,2022-05-01,5,2022,2,2824,1.21,6.4,18,109.0
COMP-004,Connectors,2022-06-01,6,2022,2,4327,1.02,6.4,72,109.5
COMP-004,Connectors,2022-07-01,7,2022,3,3059,0.76,4.3,43,107.3
COMP-004,Connectors,2022-08-01,8,2022,3,3310,0.62,3.8,22,117.9
COMP-004,Connectors,2022-09-01,9,2022,3,3280,0.81,3.4,19,103.1
COMP-004,Connectors,2022-10-01,10,2022,4,3109,1.02,1.8,51,106.4
COMP-004,Connectors,2022-11-01,11,2022,4,3859,1.07,2.7,27,104.6
COMP-004,Connectors,2022-12-01,12,2022,4,3937,0.41,2.9,30,103.4
COMP-004,Connectors,2023-01-01,1,2023,1,3491,1.21,3.0,28,96.2
COMP-004,Connectors,2023-02-01,2,2023,1,3443,2.34,4.3,24,95.0
COMP-004,Connectors,2023-03-01,3,2023,1,4090,0.89,5.1,23,95.7
COMP-004,Connectors,2023-04-01,4,2023,2,4906,1.48,7.3,29,95.4
COMP-004,Connectors,2023-05-01,5,2023,2,4604,2.05,6.8,79,90.4
COMP-004,Connectors,2023-06-01,6,2023,2,3929,0.55,7.6,40,91.4
COMP-004,Connectors,2023-07-01,7,2023,3,3398,0.91,3.8,30,92.0
COMP-004,Connectors,2023-08-01,8,2023,3,3492,0.94,2.3,27,94.4
COMP-004,Connectors,2023-09-01,9,2023,3,3382,1.5,1.0,27,91.6
COMP-004,Connectors,2023-10-01,10,2023,4,3700,0.34,1.0,27,93.5
COMP-004,Connectors,2023-11-01,11,2023,4,3918,1.77,3.1,30,98.0
COMP-004,Connectors,2023-12-01,12,2023,4,3697,0.56,1.0,18,99.3
COMP-004,Connectors,2024-01-01,1,2024,1,3528,0.99,3.4,25,98.0
COMP-004,Connectors,2024-02-01,2,2024,1,3382,0.9,4.3,26,97.0
COMP-004,Connectors,2024-03-01,3,2024,1,4014,1.31,6.5,29,106.4
COMP-004,Connectors,2024-04-01,4,2024,2,4114,0.65,5.7,21,105.1
COMP-004,Connectors,2024-05-01,5,2024,2,4407,1.2,5.8,24,111.2
COMP-004,Connectors,2024-06-01,6,2024,2,3964,0.95,4.3,22,111.5
COMP-004,Connectors,2024-07-01,7,2024,3,3427,0.81,3.9,17,111.4
COMP-004,Connectors,2024-08-01,8,2024,3,3415,0.52,3.6,26,111.6
COMP-004,Connectors,2024-09-01,9,2024,3,3689,1.01,1.0,29,115.4
COMP-004,Connectors,2024-10-01,10,2024,4,3209,0.31,1.1,35,105.3
COMP-004,Connectors,2024-11-01,11,2024,4,3492,1.23,2.1,21,102.1
COMP-004,Connectors,2024-12-01,12,2024,4,3487,1.0,2.4,17,102.7
COMP-005,Resistors,2022-01-01,1,2022,1,7121,1.38,5.1,82,100.2
COMP-005,Resistors,2022-02-01,2,2022,1,7155,0.9,3.8,37,100.4
COMP-005,Resistors,2022-03-01,3,2022,1,5703,0.76,5.9,29,104.5
COMP-005,Resistors,2022-04-01,4,2022,2,6370,1.0,6.2,126,106.6
COMP-005,Resistors,2022-05-01,5,2022,2,6718,1.24,4.9,107,106.8
COMP-005,Resistors,2022-06-01,6,2022,2,8481,0.4,4.7,165,107.0
COMP-005,Resistors,2022-07-01,7,2022,3,8037,1.1,5.2,73,109.3
COMP-005,Resistors,2022-08-01,8,2022,3,8315,0.69,2.4,50,111.1
COMP-005,Resistors,2022-09-01,9,2022,3,8162,1.56,1.6,133,108.5
COMP-005,Resistors,2022-10-01,10,2022,4,7270,2.47,3.1,67,112.2
COMP-005,Resistors,2022-11-01,11,2022,4,9153,0.76,2.2,47,101.3
COMP-005,Resistors,2022-12-01,12,2022,4,9973,1.03,3.8,60,101.1
COMP-005,Resistors,2023-01-01,1,2023,1,7739,0.84,2.2,78,98.3
COMP-005,Resistors,2023-02-01,2,2023,1,9854,1.58,5.4,62,96.5
COMP-005,Resistors,2023-03-01,3,2023,1,8151,3.76,4.5,101,95.5
COMP-005,Resistors,2023-04-01,4,2023,2,11547,0.3,6.5,59,92.2
COMP-005,Resistors,2023-05-01,5,2023,2,9504,0.53,4.3,71,93.2
COMP-005,Resistors,2023-06-01,6,2023,2,8755,0.81,3.7,63,93.8
COMP-005,Resistors,2023-07-01,7,2023,3,9208,0.98,3.9,60,86.5
COMP-005,Resistors,2023-08-01,8,2023,3,8727,0.94,3.9,53,94.2
COMP-005,Resistors,2023-09-01,9,2023,3,8942,1.46,1.9,73,91.5
COMP-005,Resistors,2023-10-01,10,2023,4,8545,0.54,2.1,46,90.6
COMP-005,Resistors,2023-11-01,11,2023,4,7977,0.55,3.2,142,96.7
COMP-005,Resistors,2023-12-01,12,2023,4,10585,1.04,4.7,74,101.6
COMP-005,Resistors,2024-01-01,1,2024,1,10018,0.92,4.1,59,101.6
COMP-005,Resistors,2024-02-01,2,2024,1,9975,3.43,5.7,71,108.5
COMP-005,Resistors,2024-03-01,3,2024,1,10864,2.21,7.4,78,103.6
COMP-005,Resistors,2024-04-01,4,2024,2,10912,3.1,4.4,90,110.2
COMP-005,Resistors,2024-05-01,5,2024,2,12001,1.26,5.2,161,108.4
COMP-005,Resistors,2024-06-01,6,2024,2,11518,0.38,4.2,104,109.6
COMP-005,Resistors,2024-07-01,7,2024,3,9811,0.49,4.5,128,108.7
COMP-005,Resistors,2024-08-01,8,2024,3,9610,1.25,3.4,59,112.8
COMP-005,Resistors,2024-09-01,9,2024,3,9331,2.11,3.2,67,117.5
COMP-005,Resistors,2024-10-01,10,2024,4,10488,0.79,3.5,62,112.0
COMP-005,Resistors,2024-11-01,11,2024,4,9803,0.48,1.6,55,98.1
COMP-005,Resistors,2024-12-01,12,2024,4,12689,0.68,4.7,87,98.0
COMP-006,Connectors,2022-01-01,1,2022,1,2803,2.24,2.4,20,97.9
COMP-006,Connectors,2022-02-01,2,2022,1,3797,0.53,6.1,34,107.7
COMP-006,Connectors,2022-03-01,3,2022,1,3035,0.52,5.2,35,104.5
COMP-006,Connectors,2022-04-01,4,2022,2,2930,0.78,4.0,19,106.6
COMP-006,Connectors,2022-05-01,5,2022,2,2379,1.4,5.8,27,104.8
COMP-006,Connectors,2022-06-01,6,2022,2,3207,0.45,6.2,24,111.8
COMP-006,Connectors,2022-07-01,7,2022,3,4363,1.73,3.8,32,108.5
COMP-006,Connectors,2022-08-01,8,2022,3,3904,0.53,3.6,50,114.8
COMP-006,Connectors,2022-09-01,9,2022,3,4084,0.75,1.0,26,108.9
COMP-006,Connectors,2022-10-01,10,2022,4,4105,1.02,1.0,40,103.9
COMP-006,Connectors,2022-11-01,11,2022,4,4035,0.99,2.4,54,106.8
COMP-006,Connectors,2022-12-01,12,2022,4,3791,0.78,2.4,19,105.0
COMP-006,Connectors,2023-01-01,1,2023,1,3266,0.97,4.2,62,102.0
COMP-006,Connectors,2023-02-01,2,2023,1,3623,1.24,5.5,54,99.3
COMP-006,Connectors,2023-03-01,3,2023,1,3950,1.34,6.7,28,92.0
COMP-006,Connectors,2023-04-01,4,2023,2,3775,0.47,6.9,20,92.1
COMP-006,Connectors,2023-05-01,5,2023,2,3730,1.21,4.9,22,91.0
COMP-006,Connectors,2023-06-01,6,2023,2,4119,1.52,4.6,38,93.3
COMP-006,Connectors,2023-07-01,7,2023,3,3271,1.74,2.5,23,83.9
COMP-006,Connectors,2023-08-01,8,2023,3,3999,2.95,4.1,30,89.4
COMP-006,Connectors,2023-09-01,9,2023,3,3548,0.53,2.6,24,91.3
COMP-006,Connectors,2023-10-01,10,2023,4,4686,1.3,2.1,26,88.0
COMP-006,Connectors,2023-11-01,11,2023,4,4178,0.29,1.7,31,97.6
COMP-006,Connectors,2023-12-01,12,2023,4,4605,1.89,3.1,40,97.8
COMP-006,Connectors,2024-01-01,1,2024,1,3925,0.54,3.5,32,98.6
COMP-006,Connectors,2024-02-01,2,2024,1,3757,1.29,7.3,24,102.8
COMP-006,Connectors,2024-03-01,3,2024,1,4295,0.69,5.9,27,105.9
COMP-006,Connectors,2024-04-01,4,2024,2,4021,1.1,7.3,58,108.1
COMP-006,Connectors,2024-05-01,5,2024,2,4173,0.78,4.8,24,106.2
COMP-006,Connectors,2024-06-01,6,2024,2,3893,0.81,6.2,30,110.4
COMP-006,Connectors,2024-07-01,7,2024,3,4652,1.94,4.4,31,108.6
COMP-006,Connectors,2024-08-01,8,2024,3,3356,1.06,3.3,25,107.1
COMP-006,Connectors,2024-09-01,9,2024,3,3294,1.35,2.7,21,110.4
COMP-006,Connectors,2024-10-01,10,2024,4,4446,0.84,1.0,60,108.6
COMP-006,Connectors,2024-11-01,11,2024,4,4082,3.29,1.0,53,101.8
COMP-006,Connectors,2024-12-01,12,2024,4,4032,1.29,1.8,45,100.9
COMP-007,Capacitors,2022-01-01,1,2022,1,2862,0.38,5.0,14,103.3
COMP-007,Capacitors,2022-02-01,2,2022,1,3752,2.31,4.6,59,102.0
COMP-007,Capacitors,2022-03-01,3,2022,1,2230,0.73,5.1,17,104.4
COMP-007,Capacitors,2022-04-01,4,2022,2,2615,0.48,6.3,20,109.6
COMP-007,Capacitors,2022-05-01,5,2022,2,2184,0.56,6.4,13,114.5
COMP-007,Capacitors,2022-06-01,6,2022,2,3183,1.0,5.6,41,109.9
COMP-007,Capacitors,2022-07-01,7,2022,3,3216,1.37,3.1,27,110.2
COMP-007,Capacitors,2022-08-01,8,2022,3,3147,1.81,4.1,16,111.5
COMP-007,Capacitors,2022-09-01,9,2022,3,3091,0.47,2.3,17,111.0
COMP-007,Capacitors,2022-10-01,10,2022,4,4224,1.16,2.2,61,106.1
COMP-007,Capacitors,2022-11-01,11,2022,4,3579,1.28,1.2,34,102.3
COMP-007,Capacitors,2022-12-01,12,2022,4,2789,1.26,1.9,19,96.1
COMP-007,Capacitors,2023-01-01,1,2023,1,3453,1.02,4.3,19,100.0
COMP-007,Capacitors,2023-02-01,2,2023,1,3316,0.98,5.9,18,96.5
COMP-007,Capacitors,2023-03-01,3,2023,1,3581,1.41,5.2,32,94.3
COMP-007,Capacitors,2023-04-01,4,2023,2,3587,0.67,6.0,24,92.9
COMP-007,Capacitors,2023-05-01,5,2023,2,3246,1.15,8.2,19,90.4
COMP-007,Capacitors,2023-06-01,6,2023,2,3209,0.53,3.9,30,89.4
COMP-007,Capacitors,2023-07-01,7,2023,3,3215,1.03,2.2,25,88.1
COMP-007,Capacitors,2023-08-01,8,2023,3,2591,0.91,1.8,18,92.1
COMP-007,Capacitors,2023-09-01,9,2023,3,2476,1.18,1.6,12,91.2
COMP-007,Capacitors,2023-10-01,10,2023,4,3173,0.8,1.4,20,92.0
COMP-007,Capacitors,2023-11-01,11,2023,4,3149,0.66,1.0,21,97.7
COMP-007,Capacitors,2023-12-01,12,2023,4,2329,1.56,1.6,22,96.7
COMP-007,Capacitors,2024-01-01,1,2024,1,3317,0.85,4.9,64,102.3
COMP-007,Capacitors,2024-02-01,2,2024,1,2849,0.28,4.5,21,103.8
COMP-007,Capacitors,2024-03-01,3,2024,1,2778,1.03,3.8,15,111.2
COMP-007,Capacitors,2024-04-01,4,2024,2,3122,0.66,5.6,19,104.4
COMP-007,Capacitors,2024-05-01,5,2024,2,2299,0.84,4.9,13,101.8
COMP-007,Capacitors,2024-06-01,6,2024,2,2743,1.72,4.4,31,115.1
COMP-007,Capacitors,2024-07-01,7,2024,3,2784,1.59,5.4,15,113.6
COMP-007,Capacitors,2024-08-01,8,2024,3,3045,2.13,3.0,41,107.4
COMP-007,Capacitors,2024-09-01,9,2024,3,2578,2.26,2.0,41,108.9
COMP-007,Capacitors,2024-10-01,10,2024,4,2762,1.04,1.0,26,104.2
COMP-007,Capacitors,2024-11-01,11,2024,4,3111,1.71,1.8,48,103.7
COMP-007,Capacitors,2024-12-01,12,2024,4,3366,1.4,4.0,23,100.3
COMP-008,Semiconductors,2022-01-01,1,2022,1,1024,0.99,4.6,5,97.7
COMP-008,Semiconductors,2022-02-01,2,2022,1,1109,0.62,4.9,9,102.7
COMP-008,Semiconductors,2022-03-01,3,2022,1,939,0.61,6.1,16,105.7
COMP-008,Semiconductors,2022-04-01,4,2022,2,758,0.93,5.2,5,103.7
COMP-008,Semiconductors,2022-05-01,5,2022,2,799,1.22,5.6,5,107.7
COMP-008,Semiconductors,2022-06-01,6,2022,2,1134,1.49,4.6,12,116.0
COMP-008,Semiconductors,2022-07-01,7,2022,3,1259,1.2,5.6,16,109.6
COMP-008,Semiconductors,2022-08-01,8,2022,3,1018,0.64,3.9,7,108.0
COMP-008,Semiconductors,2022-09-01,9,2022,3,1041,0.71,2.5,5,105.1
COMP-008,Semiconductors,2022-10-01,10,2022,4,1012,0.58,1.0,6,109.1
COMP-008,Semiconductors,2022-11-01,11,2022,4,1222,1.04,1.4,6,101.4
COMP-008,Semiconductors,2022-12-01,12,2022,4,1054,1.89,3.2,6,101.5
COMP-008,Semiconductors,2023-01-01,1,2023,1,1089,1.13,3.8,7,103.3
COMP-008,Semiconductors,2023-02-01,2,2023,1,957,1.27,6.2,6,99.5
COMP-008,Semiconductors,2023-03-01,3,2023,1,803,1.9,5.8,4,97.5
COMP-008,Semiconductors,2023-04-01,4,2023,2,1245,1.84,6.8,7,93.6
COMP-008,Semiconductors,2023-05-01,5,2023,2,632,0.9,4.8,4,89.3
COMP-008,Semiconductors,2023-06-01,6,2023,2,1135,1.25,4.1,22,89.2
COMP-008,Semiconductors,2023-07-01,7,2023,3,918,0.49,2.3,5,95.4
COMP-008,Semiconductors,2023-08-01,8,2023,3,902,0.87,2.7,5,90.3
COMP-008,Semiconductors,2023-09-01,9,2023,3,766,2.14,3.8,14,94.6
COMP-008,Semiconductors,2023-10-01,10,2023,4,765,1.19,1.2,4,93.2
COMP-008,Semiconductors,2023-11-01,11,2023,4,1107,0.61,2.0,6,93.1
COMP-008,Semiconductors,2023-12-01,12,2023,4,831,1.44,3.9,8,98.8
COMP-008,Semiconductors,2024-01-01,1,2024,1,799,0.51,4.0,5,100.9
COMP-008,Semiconductors,2024-02-01,2,2024,1,812,1.47,6.7,5,103.9
COMP-008,Semiconductors,2024-03-01,3,2024,1,1051,0.85,6.3,9,100.8
COMP-008,Semiconductors,2024-04-01,4,2024,2,665,1.49,5.9,4,105.6
COMP-008,Semiconductors,2024-05-01,5,2024,2,1028,0.91,4.7,5,107.7
COMP-008,Semiconductors,2024-06-01,6,2024,2,953,1.6,4.3,4,106.5
COMP-008,Semiconductors,2024-07-01,7,2024,3,667,0.79,4.7,9,113.2
COMP-008,Semiconductors,2024-08-01,8,2024,3,1027,0.51,1.9,6,109.2
COMP-008,Semiconductors,2024-09-01,9,2024,3,741,1.14,4.0,10,107.9
COMP-008,Semiconductors,2024-10-01,10,2024,4,953,1.21,2.6,6,108.3
COMP-008,Semiconductors,2024-11-01,11,2024,4,864,1.2,1.6,10,101.2
COMP-008,Semiconductors,2024-12-01,12,2024,4,784,0.72,4.6,12,104.0
COMP-009,Resistors,2022-01-01,1,2022,1,14010,0.83,3.2,117,100.3
COMP-009,Resistors,2022-02-01,2,2022,1,12972,1.0,4.6,116,108.6
COMP-009,Resistors,2022-03-01,3,2022,1,11361,2.92,5.8,66,102.8
COMP-009,Resistors,2022-04-01,4,2022,2,10427,1.02,5.4,117,108.9
