component_id,category,manufacturer,package_type,years_since_introduction,technology_node_nm,num_alternative_parts,num_authorized_distributors,monthly_demand_units,demand_trend_6m,demand_trend_12m,avg_lead_time_weeks,lead_time_increase_pct,price_trend_6m,num_pcn_notices,last_pcn_months_ago,manufacturer_financial_health,num_design_wins,cross_reference_count,rohs_compliant,automotive_qualified,military_grade,lifecycle_stage,will_go_eol_12m
CMP-00067,Diodes,STMicro,SMD-0603,10.6,130,5,7,81,-0.376,-0.318,24.0,-11.0,0.015,2,5.0,82.5,2,0,1,0,0,Mature,0
CMP-00068,Semiconductors,Infineon,SMD-0805,5.1,65,2,1,33316,-0.048,-0.316,18.8,17.8,-0.006,0,3.0,62.7,22,4,1,0,0,Mature,0
CMP-00069,ICs,TDK,SMD-0603,1.9,28,3,9,2345,-0.282,-0.026,17.6,28.4,0.018,1,14.0,81.2,8,3,0,0,0,Active,0
CMP-00070,Diodes,Intel,CSP,6.2,90,6,3,59,0.131,0.015,15.0,-15.0,-0.12,0,23.0,50.6,34,1,0,1,0,Active,0
CMP-00071,Semiconductors,Murata,SMD-0805,25.4,40,1,8,84,0.203,-0.233,16.6,12.8,-0.083,0,12.0,91.8,23,4,1,0,0,EOL Announced,1
CMP-00072,Semiconductors,STMicro,SMD-0402,7.1,28,5,5,1072,0.005,0.368,4.5,0.0,0.099,1,16.0,28.7,1,4,1,0,1,Declining,0
CMP-00073,Diodes,Samsung,QFP,0.5,22,4,3,390,0.248,-0.123,10.4,10.1,0.095,0,7.0,,12,0,0,0,0,Active,0
CMP-00074,Inductors,Murata,SOIC,0.5,65,6,4,22286,-0.117,-0.514,19.0,-1.7,0.057,1,7.0,70.7,10,7,1,0,0,Active,0
CMP-00075,Diodes,Analog Devices,SMD-0603,30.0,65,2,6,3664,0.169,-0.054,10.9,11.7,0.014,2,36.0,52.8,7,7,1,1,0,Last Buy,1
CMP-00076,Diodes,Texas Instruments,QFP,0.6,65,4,3,792,0.009,0.162,9.8,18.0,-0.048,0,14.0,79.4,19,3,1,1,0,Active,0
CMP-00077,Semiconductors,ON Semi,SOIC,0.5,14,5,5,218,-0.084,-0.388,21.4,-3.0,-0.031,0,7.0,82.7,10,5,1,1,0,Active,0
CMP-00078,Resistors,Murata,DIP,3.5,65,7,5,218,0.266,0.146,4.4,0.3,0.024,0,27.0,35.1,0,1,1,1,0,Active,0
CMP-00079,Semiconductors,Infineon,TSSOP,27.9,22,6,4,289,0.197,-0.136,8.3,-0.4,0.156,0,13.0,74.9,13,4,1,0,0,Declining,0
CMP-00080,Transistors,Vishay,SMD-0402,3.1,65,3,1,265,0.019,0.095,5.0,24.8,-0.038,0,1.0,41.8,6,1,1,1,0,Active,0
CMP-00081,Inductors,Broadcom,DIP,4.2,40,2,6,82,-0.098,0.214,26.7,28.0,,2,6.0,88.8,24,1,1,1,0,Mature,0
CMP-00082,Capacitors,Samsung,SMD-0805,8.0,130,4,6,442,-0.055,0.27,11.4,-19.1,0.048,0,57.0,84.2,4,1,1,1,0,Last Buy,0
CMP-00083,Semiconductors,Microchip,TSSOP,0.5,90,11,4,29409,-0.182,-0.344,28.3,8.8,-0.038,0,13.0,76.4,8,1,1,0,0,Active,0
CMP-00084,Capacitors,ROHM,CSP,18.2,90,6,3,759,-0.168,0.283,10.3,4.1,0.306,1,32.0,56.1,32,3,1,1,0,EOL Announced,1
CMP-00085,Capacitors,TDK,QFP,5.9,90,3,7,383,-0.12,0.188,5.0,-3.1,0.006,1,4.0,74.6,14,1,1,0,1,Mature,0
CMP-00086,Diodes,ROHM,SOIC,5.0,65,3,4,725,0.233,-0.274,10.0,15.8,0.041,1,30.0,53.0,29,2,1,0,0,Active,0
CMP-00087,Inductors,Analog Devices,QFN,15.8,10,2,4,626,-0.047,-0.386,33.4,5.1,-0.025,1,29.0,100.0,4,4,1,0,0,EOL Announced,1
CMP-00088,Transistors,TDK,TSSOP,24.5,65,6,4,1977,0.009,-0.167,19.9,28.1,-0.062,0,6.0,72.1,4,7,1,0,0,EOL Announced,1
CMP-00089,Resistors,Murata,QFP,4.4,40,7,5,6594,-0.237,0.42,13.3,10.7,-0.03,0,18.0,80.4,19,1,0,0,0,Declining,0
CMP-00090,Semiconductors,Vishay,SOT-23,1.5,40,3,5,267,0.204,0.045,13.2,-7.2,0.131,1,8.0,80.4,2,2,0,0,0,Active,0
CMP-00091,Inductors,ON Semi,TO-220,13.5,40,3,9,371,-0.19,-0.19,10.7,3.3,-0.004,1,9.0,91.3,11,3,1,0,0,Declining,0
CMP-00092,Diodes,Microchip,SMD-0603,4.1,180,9,3,120,0.289,0.015,8.9,-4.7,-0.064,0,27.0,67.9,5,2,1,0,0,Active,0
CMP-00093,Connectors,Analog Devices,SOIC,21.9,22,5,4,8748,0.129,0.285,14.7,28.7,-0.008,1,17.0,92.0,8,3,1,0,0,EOL Announced,0
CMP-00094,Diodes,STMicro,BGA,23.9,28,4,1,37482,0.001,-0.017,4.9,10.3,0.037,0,3.0,73.0,10,2,1,1,0,Last Buy,0
CMP-00095,Resistors,Intel,BGA,1.0,250,3,2,934,0.057,-0.149,12.7,19.5,0.072,0,25.0,83.1,8,3,1,1,0,Active,0
CMP-00096,Connectors,ON Semi,TO-220,25.1,130,4,10,3989,-0.022,-0.065,10.5,-14.4,0.091,0,7.0,100.0,22,4,1,0,0,EOL Announced,0
CMP-00097,Resistors,STMicro,TSSOP,3.7,7,1,9,1724,-0.067,-0.251,10.7,2.8,-0.149,1,44.0,84.2,4,5,1,1,0,Mature,0
CMP-00098,Semiconductors,Intel,SMD-0805,8.3,180,2,5,292,0.113,-0.162,7.1,-2.9,0.033,0,5.0,86.3,11,3,1,1,1,Last Buy,0
CMP-00099,Semiconductors,Vishay,CSP,0.5,22,4,7,440,0.075,-0.1,14.8,-10.7,-0.065,2,44.0,73.8,1,1,1,0,0,Active,0
CMP-00100,Semiconductors,Intel,QFP,17.6,90,2,7,1465,-0.08,0.004,30.3,4.1,-0.008,0,6.0,52.4,9,4,1,0,0,EOL Announced,1
CMP-00101,Inductors,Broadcom,QFP,8.2,65,6,4,4966,0.377,-0.128,8.7,2.9,0.045,2,30.0,62.3,5,2,1,1,0,Last Buy,1
CMP-00102,Capacitors,ON Semi,CSP,8.3,65,7,6,368,-0.061,-0.255,15.1,-7.8,0.039,1,5.0,72.9,8,2,1,0,0,Last Buy,0
CMP-00103,Connectors,Analog Devices,BGA,18.6,90,7,5,58221,-0.024,0.03,14.9,7.4,0.143,0,60.0,55.4,6,3,1,1,0,Declining,0
CMP-00104,Transistors,Broadcom,QFP,5.7,22,7,5,213,-0.297,-0.014,30.5,15.8,-0.036,1,40.0,89.2,12,0,1,0,1,Active,0
CMP-00105,Capacitors,Renesas,TO-220,4.2,22,3,6,595,-0.009,-0.371,5.5,20.8,-0.04,1,3.0,59.6,10,4,1,0,0,Active,0
CMP-00106,Resistors,Infineon,QFP,16.1,65,4,4,2676,0.321,-0.287,14.2,-3.2,0.014,0,16.0,47.3,17,4,1,0,0,EOL Announced,1
CMP-00107,Diodes,Murata,SMD-0805,10.9,28,3,4,65,0.083,-0.014,21.7,7.0,0.123,1,5.0,85.5,7,4,0,0,0,Mature,0
CMP-00108,Capacitors,STMicro,SMD-0603,23.8,250,3,10,248,0.127,0.309,20.2,-10.5,-0.077,0,6.0,80.8,0,4,1,0,0,EOL Announced,1
CMP-00109,Semiconductors,Infineon,SOT-23,22.5,40,7,5,536,-0.006,-0.269,8.3,-15.8,-0.065,1,26.0,41.3,6,2,1,0,0,EOL Announced,1
CMP-00110,Capacitors,STMicro,SMD-0603,3.9,14,7,12,1808,0.048,-0.5,7.3,1.3,,1,1.0,74.2,4,1,1,0,0,Active,0
CMP-00111,Semiconductors,Analog Devices,SOT-23,4.7,90,5,3,43289,0.219,-0.018,13.1,-4.8,-0.029,1,19.0,81.3,2,2,1,1,0,Active,0
CMP-00112,ICs,Murata,QFN,2.4,28,6,7,1335,0.183,0.377,21.0,-20.0,0.107,0,14.0,74.4,9,1,1,0,0,Mature,0
CMP-00113,Diodes,Renesas,CSP,8.6,14,6,1,648,-0.054,-0.19,3.8,15.3,0.008,0,30.0,65.5,1,6,1,1,0,Last Buy,0
CMP-00114,Inductors,NXP,SMD-0603,3.6,40,2,8,2316,0.006,-0.055,6.4,2.4,0.046,1,1.0,66.5,6,5,1,0,0,Mature,0
CMP-00115,Transistors,Intel,TO-220,12.3,250,3,3,2924,0.107,0.218,15.5,10.3,0.056,0,7.0,71.8,23,6,1,0,0,Declining,0
CMP-00116,Diodes,Vishay,SMD-0402,1.0,40,4,7,706,-0.096,0.411,13.4,13.0,-0.122,1,4.0,70.3,1,1,1,0,0,Active,0
CMP-00117,Semiconductors,NXP,QFN,1.0,28,3,4,3475,0.015,-0.428,25.3,36.4,-0.024,0,17.0,82.0,10,3,1,0,1,Mature,0
CMP-00118,Transistors,NXP,SOT-23,1.8,40,2,10,1812,-0.06,-0.024,52.0,10.0,0.042,0,22.0,77.9,17,2,1,1,0,Active,0
CMP-00119,Connectors,TDK,CSP,0.7,7,8,4,417,-0.0,0.073,31.9,3.7,0.014,0,0.0,44.0,34,3,0,0,0,Active,0
CMP-00120,Diodes,Texas Instruments,SOT-23,7.7,14,3,8,612,0.066,-0.263,11.7,0.0,0.131,0,16.0,53.8,84,3,1,1,1,Last Buy,0
CMP-00121,Transistors,ON Semi,QFN,1.3,130,4,8,4000,-0.013,0.12,7.4,11.0,-0.127,0,9.0,82.7,6,2,1,1,0,Active,0
CMP-00122,Capacitors,Infineon,SOT-23,1.4,250,4,4,6743,0.118,0.403,5.4,-14.7,0.069,0,28.0,84.0,25,4,1,0,0,Active,0
CMP-00123,Semiconductors,Infineon,CSP,0.5,22,5,4,150,0.133,0.042,15.7,-16.1,0.208,1,16.0,58.6,10,4,1,1,0,Active,0
CMP-00124,Capacitors,Infineon,SOIC,12.2,65,4,3,5146,0.075,0.005,4.1,10.3,0.089,0,14.0,52.5,4,2,1,1,0,Declining,0
CMP-00125,Resistors,Broadcom,SMD-0402,13.4,250,7,3,3198,0.061,-0.33,11.1,2.9,0.099,0,24.0,90.4,7,3,1,1,0,EOL Announced,1
CMP-00126,Diodes,Analog Devices,TO-220,1.4,22,5,4,331,0.107,-0.274,14.5,5.7,-0.005,0,20.0,90.8,2,3,1,1,0,Active,0
CMP-00127,Transistors,Infineon,SOIC,10.8,22,2,4,20989,0.16,0.16,36.5,-10.3,0.088,1,15.0,58.4,37,0,1,0,0,Last Buy,0
CMP-00128,Semiconductors,Analog Devices,SOT-23,4.5,180,5,2,15415,-0.245,0.249,13.7,27.2,,0,11.0,50.4,12,2,1,1,1,Mature,0
CMP-00129,Connectors,ON Semi,SMD-0603,2.2,90,2,8,562,-0.116,-0.049,7.5,-20.0,0.058,0,23.0,54.1,4,1,0,0,0,Active,0
CMP-00130,Resistors,NXP,SOIC,7.8,22,5,7,382,-0.083,-0.315,17.6,9.5,0.072,0,34.0,63.2,9,3,1,0,0,Last Buy,0
CMP-00131,Capacitors,Renesas,SMD-0603,1.6,40,4,7,586,-0.162,0.02,13.6,-7.1,0.014,0,8.0,91.9,3,5,1,0,0,Active,0
CMP-00132,Semiconductors,ON Semi,QFN,11.3,10,2,2,1161,-0.063,0.118,22.1,-9.2,0.03,0,49.0,79.0,22,2,1,0,1,Declining,0
CMP-00133,Capacitors,Infineon,QFP,0.5,40,4,9,53,0.034,-0.212,30.6,45.2,0.139,0,36.0,78.7,8,3,1,0,1,Active,0
CMP-00134,ICs,Texas Instruments,DIP,25.6,90,4,2,251,-0.03,-0.318,10.3,-2.2,0.021,0,11.0,72.0,2,2,0,1,0,Last Buy,0
CMP-00135,Capacitors,Samsung,TSSOP,0.6,65,5,8,1396,-0.039,0.033,17.9,5.6,-0.098,0,0.0,76.5,5,3,1,0,0,Active,0
CMP-00136,Connectors,Murata,CSP,6.9,65,1,3,9102,0.133,-0.117,42.4,17.3,-0.022,0,52.0,60.9,10,2,1,1,0,Active,0
CMP-00137,Inductors,Infineon,SOT-23,18.6,28,7,4,206,0.066,0.055,33.6,20.7,-0.113,1,11.0,95.8,2,4,1,0,0,EOL Announced,1
CMP-00138,Resistors,Vishay,DIP,0.5,22,5,11,101,-0.06,0.024,7.7,26.2,0.099,1,13.0,50.8,1,2,1,0,0,Active,0
CMP-00139,ICs,Samsung,SMD-0402,5.5,7,5,6,1245,-0.081,0.203,5.5,-3.8,-0.039,0,29.0,77.2,2,3,1,0,0,Mature,0
CMP-00140,ICs,ON Semi,SMD-0603,3.4,130,1,5,242,-0.104,0.073,21.9,27.9,0.078,0,4.0,80.1,4,4,1,0,0,Mature,0
CMP-00141,Capacitors,Vishay,SOIC,6.9,65,3,9,2912,0.32,-0.227,9.4,-5.7,-0.132,1,4.0,73.9,10,2,1,0,0,Declining,0
CMP-00142,Resistors,Vishay,DIP,2.0,22,6,5,843,-0.156,-0.004,28.9,6.0,-0.198,1,25.0,71.8,13,2,1,0,0,Active,0
CMP-00143,Capacitors,STMicro,SMD-0805,0.5,40,4,4,183,0.061,-0.096,5.1,4.8,,0,7.0,50.1,22,1,1,1,0,Active,0
CMP-00144,Capacitors,Vishay,SOT-23,7.9,130,4,6,1204,-0.307,-0.048,7.9,9.0,0.192,1,18.0,68.3,8,4,1,1,1,Last Buy,0
CMP-00145,Semiconductors,Infineon,DIP,4.3,65,6,2,14830,-0.078,0.316,10.7,-8.7,-0.032,1,12.0,68.9,13,1,1,0,0,Active,0
CMP-00146,Connectors,STMicro,SOIC,7.8,28,4,7,132,-0.264,-0.092,6.8,7.0,0.181,1,3.0,52.6,2,3,1,0,0,Declining,0
CMP-00147,Connectors,TDK,SOIC,1.9,28,5,8,1662,-0.082,-0.104,6.6,12.9,-0.027,0,59.0,60.2,4,3,1,1,0,Active,0
CMP-00148,Semiconductors,Renesas,SMD-0402,3.3,22,3,3,319,0.062,-0.078,8.3,-3.2,0.285,0,8.0,80.6,6,2,1,0,0,Mature,0
CMP-00149,Capacitors,NXP,BGA,6.6,130,5,2,530,-0.133,-0.235,20.9,-3.7,0.053,0,7.0,52.7,7,3,1,0,0,Mature,0
CMP-00150,Transistors,Vishay,TO-220,7.2,65,4,3,413,-0.18,-0.131,10.2,3.8,0.094,0,46.0,61.6,3,2,1,0,0,Declining,0
CMP-00151,Capacitors,Texas Instruments,SMD-0805,3.7,90,4,9,78,,-0.198,16.4,1.2,0.19,0,4.0,65.4,4,1,1,0,0,Mature,0
CMP-00152,Semiconductors,Microchip,DIP,2.6,130,6,6,10896,0.076,-0.065,51.1,24.2,0.13,0,0.0,68.3,10,5,1,0,0,Active,0
CMP-00153,Resistors,Murata,TO-220,2.6,250,6,2,6847,,-0.071,26.8,10.2,0.008,0,9.0,57.4,3,2,1,0,0,Active,0
CMP-00154,ICs,Vishay,SMD-0805,1.5,22,3,7,31,-0.29,-0.547,16.5,17.3,-0.001,0,30.0,88.6,2,3,0,0,1,Active,0
CMP-00155,Capacitors,Analog Devices,BGA,3.1,22,0,6,422,0.058,0.156,5.1,7.5,0.062,1,0.0,78.5,4,1,1,1,0,Active,0
CMP-00156,Inductors,TDK,DIP,1.8,40,5,3,641,0.134,0.157,9.7,12.7,0.095,0,33.0,62.3,14,3,1,0,0,Active,0
CMP-00157,Diodes,Intel,SMD-0805,8.0,10,5,4,15635,-0.078,-0.15,20.2,32.8,0.063,0,5.0,70.7,13,3,1,1,0,Declining,0
CMP-00158,Capacitors,Analog Devices,TO-220,6.7,130,3,5,40,-0.259,0.042,10.0,14.3,0.227,3,22.0,75.6,10,1,0,0,0,Mature,0
CMP-00159,Diodes,ON Semi,SMD-0603,3.9,130,4,7,2586,-0.013,-0.064,7.4,-4.6,-0.106,0,11.0,65.5,11,4,0,1,0,Active,0
CMP-00160,Resistors,Microchip,SOIC,3.2,90,5,6,147,0.143,0.205,36.2,-11.0,0.067,0,2.0,57.2,5,3,1,0,1,Declining,0
CMP-00161,Inductors,ON Semi,QFP,2.2,28,3,3,7455,0.051,0.231,5.8,-12.6,0.035,0,11.0,66.6,7,9,1,0,0,Active,0
CMP-00162,Inductors,Renesas,QFN,6.1,14,6,9,2148,-0.063,0.518,11.0,-10.6,0.173,2,5.0,65.3,21,4,1,1,0,Mature,0
