supplier_id,country,component_category,years_in_business,num_manufacturing_sites,annual_revenue_millions,num_employees,on_time_delivery_rate,defect_rate_ppm,lead_time_days,lead_time_variability,financial_health_score,debt_to_equity_ratio,num_certifications,has_iso9001,has_iso14001,has_iatf16949,num_customers,single_source_pct,sub_tier_visibility,recent_disruption_events,news_sentiment_score,compliance_violations,geographic_risk_index,risk_label
SUP-0022,Taiwan,PCB,13,7,8.6,166,0.942,32.0,28,0.043,72.7,0.83,2,1,0,0,14,0.505,2,2,0.911,0,0.7,Medium
SUP-0023,South Korea,Passive Components,4,4,227.9,277,0.982,1040.0,11,0.1,57.0,3.2,3,1,0,0,3,0.327,0,0,1.0,3,0.206,High
SUP-0024,Japan,Passive Components,1,6,688.0,838,0.795,408.0,21,0.117,74.3,0.14,3,1,1,1,6,0.181,2,0,0.878,0,0.117,Low
SUP-0025,Thailand,Connectors,5,2,668.4,384,0.968,201.0,9,0.218,89.6,0.28,8,1,0,0,31,0.26,2,0,0.867,1,0.39,Low
SUP-0026,China,Semiconductors,34,1,342.4,1047,0.892,211.0,21,0.075,,0.36,5,1,0,0,11,0.305,1,0,0.763,0,0.536,Low
SUP-0027,Germany,Displays,12,1,40.6,2036,0.515,171.0,18,0.087,63.9,0.32,7,1,1,1,35,0.258,3,3,0.558,0,0.035,High
SUP-0028,USA,PCB,13,4,31.6,1436,0.69,304.0,12,0.115,48.6,0.23,3,1,1,0,20,0.397,0,0,0.22,0,0.083,Medium
SUP-0029,China,Passive Components,12,1,4.5,709,0.768,206.0,22,0.075,29.3,0.47,2,1,0,0,16,0.397,1,0,0.395,1,0.627,Medium
SUP-0030,USA,Semiconductors,2,2,1157.3,409,0.844,397.0,22,0.369,80.6,0.82,4,1,1,0,28,0.184,0,0,,0,0.147,Low
SUP-0031,China,Connectors,6,2,110.3,124,0.5,743.0,40,0.286,64.5,0.3,4,1,1,0,10,0.486,3,2,0.842,0,0.656,Medium
SUP-0032,China,Memory,16,3,26.1,980,0.882,561.0,7,0.091,66.0,0.07,3,1,1,0,29,0.097,0,0,0.651,0,0.571,Low
SUP-0033,UK,Sensors,1,3,400.2,3028,0.946,174.0,19,0.0,45.3,0.99,3,1,1,0,13,0.204,1,0,0.468,0,0.0,Low
SUP-0034,France,Memory,3,1,12.7,608,0.816,376.0,12,0.347,61.3,,0,1,0,0,253,0.228,3,1,0.231,0,0.189,Medium
SUP-0035,Thailand,Memory,3,2,100.5,4026,0.828,917.0,33,0.02,86.9,0.65,3,1,0,1,6,0.34,1,0,1.0,2,0.389,Medium
SUP-0036,Taiwan,Passive Components,6,3,42.1,64,0.849,35.0,31,0.042,65.0,0.49,1,1,0,0,14,0.388,0,0,0.707,1,0.678,Medium
SUP-0037,China,Power Management,47,7,142.3,100,0.806,41.0,27,0.025,65.6,1.77,1,1,0,1,14,0.373,0,2,0.782,0,0.662,Medium
SUP-0038,Vietnam,Power Management,1,4,49.6,1125,0.691,406.0,13,0.03,69.2,0.65,3,1,1,1,5,0.213,1,0,0.493,0,0.484,Low
SUP-0039,Japan,Connectors,8,6,6.2,553,0.865,510.0,34,0.244,40.3,2.05,2,0,0,1,41,0.017,1,0,0.572,1,0.175,Medium
SUP-0040,China,PCB,2,4,61.2,1951,0.773,119.0,8,0.13,77.5,0.57,3,1,1,1,13,0.158,2,0,0.531,0,0.612,Medium
SUP-0041,Japan,Power Management,42,3,263.3,396,0.858,684.0,7,0.469,39.9,0.28,3,1,1,0,1,0.138,1,0,0.613,1,0.088,Medium
SUP-0042,China,Memory,1,1,52.3,142,0.787,520.0,9,0.039,46.2,0.35,1,1,0,0,40,0.126,2,1,0.969,1,0.546,Medium
SUP-0043,Philippines,Power Management,6,3,174.6,312,0.684,1284.0,19,0.1,44.0,0.59,3,1,0,1,10,0.782,3,0,0.359,1,0.439,Medium
SUP-0044,Taiwan,Memory,16,3,11.4,64,0.836,93.0,30,0.569,61.5,0.6,3,1,0,0,18,0.691,3,0,0.592,1,0.699,Medium
SUP-0045,Vietnam,Displays,14,3,52.5,104,0.926,696.0,3,0.263,58.0,0.93,4,1,0,0,39,0.101,2,0,0.672,1,0.469,Medium
SUP-0046,Taiwan,Passive Components,6,2,21.4,1295,0.637,44.0,44,0.196,65.0,0.2,1,1,1,0,13,0.461,3,0,0.577,0,0.668,Medium
SUP-0047,Germany,Passive Components,5,2,167.4,1149,0.832,417.0,21,0.031,46.9,0.86,1,1,1,0,13,0.48,3,0,0.799,0,0.096,Low
SUP-0048,Germany,PCB,6,2,57.2,623,0.601,401.0,7,0.22,85.1,1.21,2,0,1,0,236,0.103,2,0,0.253,0,0.065,Medium
SUP-0049,China,Power Management,3,2,153.7,51,0.625,246.0,21,0.064,81.7,0.9,2,1,1,0,2,0.625,1,0,0.977,0,0.645,Low
SUP-0050,France,Power Management,2,1,279.1,262,0.626,931.0,38,0.113,61.5,0.53,2,1,0,1,5,0.183,3,2,0.326,0,0.115,Medium
SUP-0051,Thailand,Sensors,7,4,154.1,92,0.943,2.0,28,0.141,55.4,3.83,3,1,1,0,6,0.234,3,0,0.374,0,0.374,Medium
SUP-0052,UK,Semiconductors,3,1,82.2,1655,0.807,367.0,38,0.141,53.4,0.42,0,1,1,1,120,0.452,0,0,0.51,0,0.129,Low
SUP-0053,Malaysia,Displays,4,1,12.2,200,0.745,122.0,8,0.194,58.8,0.09,6,1,0,0,10,0.066,3,0,0.47,0,0.367,Low
SUP-0054,USA,Passive Components,12,2,54.4,109,0.772,680.0,15,0.163,37.0,1.38,2,1,1,0,25,0.203,1,0,0.685,0,0.109,Medium
SUP-0055,Philippines,Displays,41,3,24.5,418,0.899,22.0,11,0.011,45.8,0.19,5,1,0,0,12,0.183,1,0,0.662,0,0.378,Low
SUP-0056,China,Passive Components,11,2,32.6,187,0.858,891.0,56,0.092,82.2,1.0,0,1,1,1,36,0.101,1,0,0.623,1,0.679,Medium
SUP-0057,China,Displays,1,1,31.1,2393,0.693,910.0,29,0.164,71.0,0.16,2,0,1,1,19,0.306,1,1,0.316,0,0.683,Medium
SUP-0058,China,Connectors,1,3,12.6,167,0.675,894.0,110,0.053,97.7,0.01,5,1,1,0,25,0.469,2,1,0.572,0,0.662,Low
SUP-0059,Taiwan,Memory,36,2,2.9,75,0.668,83.0,15,0.056,59.0,0.14,4,1,1,0,72,0.299,2,1,0.604,0,0.732,Medium
SUP-0060,South Korea,Passive Components,4,6,20.0,30,0.956,498.0,13,0.02,57.8,0.38,2,1,1,1,31,0.236,1,0,0.846,0,0.325,Low
SUP-0061,Taiwan,Displays,1,6,73.0,388,0.844,7.0,18,0.081,56.8,0.09,2,1,1,1,9,0.078,1,1,0.64,0,0.707,Medium
SUP-0062,Mexico,Power Management,10,2,7.2,205,0.814,942.0,45,0.649,58.6,0.18,3,1,1,0,27,0.145,2,0,0.677,0,0.355,Medium
SUP-0063,South Korea,Semiconductors,11,2,55.9,72,0.876,642.0,16,0.05,51.8,1.16,1,0,0,0,225,0.498,0,0,0.992,0,0.242,Low
SUP-0064,Taiwan,Connectors,12,4,944.3,1680,0.879,379.0,21,0.114,,1.18,3,1,1,1,35,0.237,3,0,0.368,0,0.643,Medium
SUP-0065,Germany,Connectors,3,1,253.3,898,0.763,656.0,21,0.204,,1.36,6,1,1,0,23,0.135,2,1,0.522,0,0.056,Medium
SUP-0066,China,Semiconductors,1,2,642.5,389,0.73,50.0,20,0.002,54.8,,2,0,1,0,5,0.373,2,1,0.373,0,0.5,Medium
SUP-0067,Thailand,Displays,40,2,98.2,2073,0.792,376.0,13,0.346,90.0,0.44,3,0,0,0,41,0.175,1,0,0.921,0,0.338,Low
SUP-0068,China,Power Management,3,6,314.6,893,0.917,172.0,18,0.073,100.0,1.62,1,1,0,1,48,0.136,3,0,0.935,1,0.6,Low
SUP-0069,Brazil,PCB,13,1,18.4,150,0.946,1799.0,18,0.305,88.3,0.6,0,1,0,0,27,0.044,0,0,0.906,3,0.288,Medium
SUP-0070,Thailand,Semiconductors,14,3,20.8,115,0.811,973.0,19,0.006,76.2,0.51,2,0,0,1,22,0.311,0,0,0.709,0,0.352,Low
SUP-0071,China,Displays,11,4,1.0,1076,0.937,661.0,35,0.024,80.2,1.01,3,1,0,1,341,0.301,3,1,0.676,0,0.588,Medium
SUP-0072,China,Semiconductors,4,2,323.5,649,0.664,1357.0,57,0.058,100.0,0.19,6,1,0,0,47,0.02,2,2,0.508,1,0.562,Medium
SUP-0073,Thailand,Semiconductors,3,1,550.3,494,0.671,213.0,12,0.064,80.2,1.25,1,1,0,0,69,0.178,1,2,0.754,0,0.383,Medium
SUP-0074,Vietnam,Passive Components,10,7,23.8,146,0.938,1156.0,15,0.282,53.3,0.45,2,1,0,1,21,0.062,2,0,0.344,0,0.514,Low
SUP-0075,India,Displays,24,2,37.3,836,0.828,197.0,12,0.002,72.8,0.11,4,1,1,0,17,0.182,2,0,0.343,0,0.498,Low
SUP-0076,Thailand,PCB,35,3,17.6,162,0.84,660.0,22,0.154,77.5,0.1,3,1,1,0,37,0.085,2,1,0.516,1,0.363,Medium
SUP-0077,China,Memory,1,1,96.9,356,0.83,667.0,14,0.021,45.1,0.14,6,0,1,1,17,0.118,2,0,0.977,0,0.585,Low
SUP-0078,South Korea,Passive Components,2,2,295.1,2290,0.836,9.0,23,0.26,59.3,1.77,2,1,1,1,19,0.514,3,0,0.497,0,0.189,Medium
SUP-0079,China,Semiconductors,34,2,4.0,182,0.846,224.0,38,0.226,87.0,3.76,4,0,0,0,31,0.218,3,0,0.524,0,0.63,Medium
SUP-0080,Malaysia,Memory,16,1,100.9,61,0.889,10.0,4,0.104,28.5,0.35,6,1,1,0,12,0.066,3,0,0.658,0,0.257,Low
SUP-0081,USA,Sensors,25,1,36.1,114,0.663,2920.0,26,0.036,40.0,0.28,2,1,1,0,25,0.135,2,0,0.78,0,0.117,Low
SUP-0082,Taiwan,Memory,2,5,64.7,1330,0.802,65.0,15,0.151,61.5,0.2,3,1,0,1,21,0.565,1,0,0.85,1,0.684,Medium
SUP-0083,China,Semiconductors,10,1,108.7,547,0.64,391.0,26,0.025,72.1,1.39,1,1,0,1,52,0.18,2,0,0.376,0,0.712,Medium
SUP-0084,Taiwan,Semiconductors,14,1,41.2,345,0.93,782.0,11,0.032,37.8,0.19,6,1,1,0,10,0.42,2,0,0.581,1,0.792,Medium
SUP-0085,Taiwan,Power Management,13,2,46.7,219,0.592,112.0,41,0.148,62.5,2.06,4,1,0,1,2,0.051,1,0,0.645,0,0.731,Medium
SUP-0086,India,Displays,6,4,39.6,722,0.83,332.0,34,0.71,88.1,0.88,2,1,1,1,14,0.214,2,1,0.665,0,0.471,Medium
SUP-0087,USA,Displays,1,1,234.0,145,0.733,468.0,28,0.333,66.4,,4,0,1,0,29,0.361,2,0,0.773,0,0.113,Low
SUP-0088,Malaysia,Passive Components,10,3,102.3,582,0.93,87.0,32,0.135,83.8,0.65,4,1,0,1,52,0.496,3,0,0.764,0,0.277,Low
SUP-0089,Japan,PCB,3,1,76.0,167,0.789,754.0,12,0.116,53.2,0.94,2,1,0,0,10,0.258,1,1,0.605,0,0.111,Low
SUP-0090,China,Passive Components,7,1,8.1,137,0.865,178.0,13,0.8,48.8,,5,1,1,1,34,0.177,2,0,0.83,0,0.553,Medium
SUP-0091,India,Connectors,37,1,30.9,187,0.519,119.0,31,0.119,,1.42,2,0,0,0,62,0.527,1,1,0.794,0,0.418,Medium
SUP-0092,India,Semiconductors,6,5,210.2,257,0.69,409.0,12,0.082,72.4,1.45,2,1,1,1,42,0.261,0,0,0.778,0,0.471,Low
SUP-0093,Germany,Memory,21,1,57.8,380,0.875,264.0,47,0.36,41.3,0.71,3,1,0,0,9,0.208,1,0,0.494,0,0.088,Medium
SUP-0094,Thailand,Sensors,2,1,146.8,535,0.79,1265.0,16,0.04,49.0,0.8,4,0,1,0,10,0.116,0,0,0.743,0,0.298,Medium
SUP-0095,Japan,Semiconductors,13,2,772.6,10,0.73,1060.0,27,0.015,96.3,2.04,2,1,0,0,31,0.28,1,0,0.841,0,0.278,Low
SUP-0096,Germany,Semiconductors,45,5,259.3,153,0.808,330.0,70,0.151,46.5,2.13,3,1,1,1,102,0.255,0,0,0.497,1,0.092,Medium
SUP-0097,South Korea,Passive Components,1,1,62.8,252,0.854,223.0,13,0.015,83.7,0.87,5,1,0,0,20,0.174,3,1,0.626,0,0.407,Medium
SUP-0098,China,Sensors,1,2,25.4,2455,0.828,197.0,20,0.07,55.4,0.01,4,1,0,1,17,0.211,0,0,0.913,0,0.58,Low
SUP-0099,China,Sensors,6,1,1.2,110,0.635,156.0,37,0.083,64.9,0.09,2,1,1,0,5,0.528,3,0,0.679,0,0.588,Medium
SUP-0100,China,Sensors,1,2,42.4,490,0.861,393.0,35,0.119,70.9,1.56,4,1,0,1,13,0.089,3,0,0.582,1,0.646,Medium
SUP-0101,USA,Passive Components,16,3,33.5,2426,0.913,817.0,16,0.718,23.0,0.07,2,1,0,0,9,0.231,1,0,0.892,0,0.085,Low
SUP-0102,Taiwan,Semiconductors,29,3,98.1,83,0.676,186.0,14,0.037,35.7,0.19,3,1,0,0,20,0.16,0,2,0.506,1,0.72,High
SUP-0103,Japan,Passive Components,6,2,43.3,647,0.705,105.0,17,0.071,,0.21,2,1,1,0,4,0.359,2,0,0.261,0,0.134,Low
SUP-0104,Philippines,Displays,3,2,33.8,154,0.831,323.0,47,0.021,50.5,0.73,2,1,1,0,14,0.391,1,0,0.444,1,0.426,Medium
SUP-0105,China,Displays,6,1,3.8,220,0.945,36.0,16,0.14,84.9,0.69,4,0,1,1,7,0.202,0,3,0.827,0,0.677,Medium
SUP-0106,South Korea,Passive Components,15,2,13.3,153,0.76,604.0,21,0.195,32.9,0.27,0,1,0,1,51,0.324,2,1,0.704,1,0.24,Medium
SUP-0107,India,Sensors,1,1,111.6,167,0.813,365.0,15,0.099,76.3,0.19,1,1,0,0,8,0.09,1,0,0.614,0,0.424,Low
SUP-0108,China,Power Management,10,4,716.1,10575,0.817,343.0,30,0.042,37.5,1.16,6,0,0,1,11,0.365,2,0,0.812,0,0.691,Medium
SUP-0109,China,Semiconductors,11,7,47.2,1111,0.8,179.0,22,0.145,58.0,2.19,3,0,1,0,26,0.038,2,2,0.633,0,0.584,High
SUP-0110,Taiwan,Passive Components,12,7,89.3,1513,0.856,1175.0,11,0.116,43.7,0.04,4,0,1,0,12,0.3,3,1,0.556,0,0.626,Medium
SUP-0111,China,Passive Components,3,5,227.9,728,0.815,47.0,11,0.028,100.0,0.11,6,1,1,0,212,0.439,0,1,0.767,0,0.631,Low
SUP-0112,Philippines,Passive Components,15,3,16.2,58,0.793,1019.0,6,0.078,38.2,0.82,4,1,1,0,50,0.188,1,0,0.524,1,0.448,Medium
SUP-0113,Thailand,Power Management,1,4,94.7,648,0.988,236.0,12,0.086,62.6,1.31,3,1,1,1,20,0.218,2,0,0.698,0,0.422,Low
SUP-0114,USA,Power Management,2,1,18.0,1461,0.938,1063.0,32,0.608,30.5,1.25,2,1,0,1,29,0.177,3,2,,0,0.103,Medium
SUP-0115,Malaysia,Connectors,25,3,199.8,144,0.959,652.0,44,0.284,97.0,1.02,6,1,0,0,1,0.541,3,0,0.389,0,0.245,Low
SUP-0116,Thailand,Displays,16,2,68.5,1284,0.734,55.0,30,0.199,73.0,1.75,8,0,0,0,68,0.321,2,0,0.427,0,0.412,Medium
SUP-0117,China,Memory,1,2,85.4,939,0.869,891.0,28,0.329,67.7,0.2,5,1,0,1,33,0.331,2,0,0.595,0,0.663,Medium
SUP-0118,Malaysia,Sensors,3,4,16.9,3723,0.81,573.0,18,0.199,94.5,0.09,2,1,1,0,18,0.392,2,0,0.47,0,0.275,Low
SUP-0119,Germany,PCB,2,1,157.7,244,0.898,16.0,31,0.351,67.9,0.76,1,0,1,0,35,0.235,1,0,,0,0.056,Low
SUP-0120,Thailand,Power Management,3,2,1245.2,108,0.732,72.0,23,0.008,69.4,1.38,6,1,1,0,39,0.175,2,0,0.569,0,0.391,Low
SUP-0121,Malaysia,Memory,3,6,12.0,261,0.867,505.0,59,0.091,67.6,0.7,3,1,0,1,13,0.267,1,0,0.586,1,0.29,Medium
SUP-0122,Taiwan,Power Management,1,1,32.8,2259,0.632,543.0,18,0.206,76.3,2.64,1,1,1,1,29,0.286,1,0,0.29,0,0.684,Medium
SUP-0123,China,Sensors,7,2,77.3,44,0.798,686.0,44,0.131,55.2,1.27,2,1,0,1,57,0.372,3,0,0.096,0,0.662,Medium
SUP-0124,China,PCB,15,6,177.6,33,0.789,637.0,33,0.029,60.7,0.97,1,1,1,0,31,0.361,3,0,0.68,0,0.612,Medium
SUP-0125,South Korea,Connectors,11,3,23.6,449,0.716,539.0,31,0.062,81.2,0.05,5,1,1,1,15,0.058,0,1,0.628,0,0.383,Low
SUP-0126,Thailand,Passive Components,13,2,1.0,237,0.752,727.0,6,0.057,70.5,0.09,3,1,0,0,27,0.379,3,1,0.326,0,0.411,Medium
SUP-0127,Malaysia,Connectors,1,1,419.4,407,0.847,428.0,35,0.045,62.7,1.23,2,1,0,1,80,0.083,1,0,0.687,0,0.318,Low
SUP-0128,China,Power Management,36,2,170.8,1254,0.798,151.0,18,0.063,37.0,0.18,4,1,1,0,43,0.22,1,1,0.687,1,0.709,Medium
SUP-0129,Germany,Connectors,21,5,4.0,207,0.904,1217.0,15,0.108,95.0,0.02,5,1,1,0,6,0.573,3,0,0.54,0,0.117,Low
SUP-0130,South Korea,Memory,19,3,21.9,42,0.912,9.0,8,0.29,51.8,1.93,3,1,0,1,36,0.331,1,1,0.992,1,0.287,Medium
SUP-0131,China,Semiconductors,20,2,573.8,4690,0.626,228.0,20,0.203,84.7,,2,1,1,1,31,0.067,3,0,0.854,1,0.553,Medium
SUP-0132,China,Power Management,32,1,479.0,121,0.932,653.0,20,0.27,68.5,,6,1,1,1,64,0.299,1,0,0.52,1,0.557,Medium
SUP-0133,Taiwan,Power Management,9,1,223.2,113,0.952,279.0,9,0.323,39.1,1.21,0,1,0,0,20,0.194,3,0,0.524,0,0.679,Medium
SUP-0134,UK,Memory,2,7,41.9,1516,0.927,13.0,8,0.081,90.0,0.04,2,1,0,1,13,0.491,3,0,0.308,0,0.088,Low
SUP-0135,Taiwan,Displays,11,2,61.8,254,0.612,34.0,26,0.064,70.1,0.27,6,0,1,1,5,0.351,2,0,0.845,0,0.597,Medium
SUP-0136,Germany,PCB,16,3,44.9,373,0.703,523.0,33,0.009,91.7,0.78,3,1,0,1,10,0.214,2,0,0.649,0,0.099,Low
SUP-0137,Vietnam,Passive Components,16,1,296.6,720,0.927,1674.0,22,0.4,61.4,1.15,4,1,0,1,67,0.5,3,2,0.765,1,0.364,High
SUP-0138,South Korea,Memory,8,3,14.7,1480,0.72,401.0,40,0.01,79.1,0.01,1,1,1,0,24,0.143,1,0,0.173,0,0.364,Low
SUP-0139,France,PCB,1,6,16.3,270,0.627,353.0,19,0.203,29.7,0.32,4,1,1,0,18,0.385,1,1,,0,0.006,Medium
SUP-0140,France,Sensors,5,3,248.5,2499,0.929,192.0,19,0.071,55.0,0.19,2,1,0,1,73,0.507,2,0,,1,0.109,Low
SUP-0141,Taiwan,PCB,30,1,51.1,31,0.757,148.0,11,0.446,39.5,5.0,1,1,0,0,59,0.602,1,0,0.717,0,0.707,High
SUP-0142,Japan,Sensors,10,3,431.7,1003,0.771,11.0,7,0.082,57.5,0.89,2,0,1,0,9,0.402,3,1,0.704,0,0.217,Medium
SUP-0143,Taiwan,Memory,9,4,19.9,147,0.688,159.0,61,0.254,74.4,0.42,3,0,1,0,66,0.33,0,2,0.596,1,0.707,High
SUP-0144,Taiwan,Power Management,3,2,50.3,2093,0.966,298.0,39,0.05,52.9,0.06,3,0,1,1,3,0.128,1,1,,0,0.695,Medium
SUP-0145,China,Power Management,5,5,13.7,478,0.741,110.0,8,0.053,82.3,0.73,3,0,1,0,31,0.273,2,0,0.68,0,0.616,Low
SUP-0146,USA,Displays,27,3,55.2,179,0.73,46.0,22,0.136,47.9,,4,1,1,0,28,0.303,1,0,0.433,0,0.074,Low
SUP-0147,Japan,Memory,13,5,5.9,893,0.827,632.0,18,0.8,82.7,1.36,3,1,1,0,63,0.212,1,2,0.81,0,0.124,Medium
SUP-0148,China,Sensors,18,3,26.3,1178,0.815,1125.0,17,0.109,91.2,0.27,4,0,1,0,29,0.095,1,0,0.456,0,0.611,Low
SUP-0149,Taiwan,PCB,7,1,6.3,871,0.876,1381.0,15,0.413,85.3,3.19,3,1,0,0,15,0.191,3,0,0.605,0,0.685,Medium
SUP-0150,Philippines,PCB,11,2,154.6,117,0.757,481.0,25,0.231,58.1,0.46,1,1,0,0,17,0.17,2,0,0.451,0,0.482,Low
SUP-0151,China,Sensors,3,1,160.0,225,0.5,27.0,32,0.238,22.5,0.28,1,0,0,1,296,0.08,1,2,,0,0.556,High
SUP-0152,China,Connectors,14,6,4.1,401,0.842,675.0,25,0.086,76.6,0.34,1,1,0,0,21,0.214,2,1,0.394,0,0.648,Medium
SUP-0153,Japan,Displays,6,4,403.8,383,0.94,58.0,18,0.073,62.5,0.59,4,1,0,1,36,0.065,2,0,0.438,0,0.174,Low
SUP-0154,Brazil,Semiconductors,7,3,2312.6,991,0.981,554.0,18,0.032,45.4,2.21,3,0,0,1,2,0.296,2,0,1.0,0,0.401,Medium
SUP-0155,China,Power Management,12,2,58.5,35,0.815,756.0,35,0.498,53.9,1.06,7,0,0,0,8,0.193,1,0,0.769,0,0.523,Medium
SUP-0156,Vietnam,Passive Components,33,1,20.9,602,0.963,647.0,26,0.481,93.7,0.69,7,1,0,0,33,0.212,0,1,0.674,0,0.542,Medium
SUP-0157,India,PCB,1,4,3776.3,284,0.78,1517.0,20,0.206,42.3,0.14,4,1,0,1,3,0.289,2,2,0.703,0,0.548,Medium
SUP-0158,China,Passive Components,20,2,7.5,147,0.896,670.0,19,0.053,74.4,0.13,4,1,0,0,34,0.15,1,0,0.661,0,0.577,Low
SUP-0159,India,Semiconductors,4,1,56.3,165,0.914,591.0,24,0.042,69.4,0.56,3,1,1,0,9,0.376,1,0,0.582,1,0.493,Medium
SUP-0160,South Korea,Memory,7,3,71.5,311,0.864,152.0,15,0.671,57.9,1.04,10,1,0,0,7,0.101,1,0,0.751,1,0.294,Medium
SUP-0161,USA,Passive Components,1,1,410.6,10,0.702,1294.0,32,0.01,77.9,1.11,3,1,1,0,9,0.444,1,2,0.435,0,0.045,Medium
SUP-0162,USA,Semiconductors,4,2,93.7,173,0.593,99.0,10,0.278,97.6,0.2,4,1,0,0,92,0.343,2,0,0.919,0,0.062,Low
SUP-0163,Germany,Power Management,8,2,25.8,141,0.846,1176.0,15,0.066,59.1,0.08,2,1,1,0,28,0.012,1,1,0.624,1,0.095,Medium
SUP-0164,China,Sensors,1,1,13.1,764,0.738,187.0,28,0.081,60.1,0.39,5,1,0,0,8,0.116,0,1,0.76,0,0.623,Medium
SUP-0165,Mexico,Connectors,8,8,32.7,153,0.835,70.0,10,0.268,77.4,2.0,2,0,1,1,43,0.213,0,1,0.915,0,0.277,Medium
SUP-0166,Taiwan,Power Management,31,1,12.1,311,0.845,876.0,7,0.014,83.4,0.63,3,1,0,1,46,0.335,1,0,0.698,0,0.665,Medium
SUP-0167,China,PCB,1,1,58.7,2567,0.915,1.0,20,0.066,62.4,0.31,2,1,1,0,13,0.559,1,0,0.438,0,0.602,Low
SUP-0168,China,Semiconductors,17,1,23.4,1330,0.827,892.0,7,0.456,58.9,,3,1,0,0,52,0.326,2,1,0.844,0,0.537,Medium
SUP-0169,USA,Passive Components,6,4,5.8,1191,0.894,152.0,9,0.18,20.6,0.11,4,1,1,1,54,0.186,0,1,0.939,0,0.12,Medium
SUP-0170,Vietnam,PCB,12,2,358.8,221,0.927,1080.0,31,0.211,49.4,0.51,2,0,0,0,47,0.456,1,1,0.211,1,0.586,High
